company,segment,country,founded,funding_usd_m,price_usd_mo
Company 001,Orchestration,US,2023,12.5,1200
Company 002,Orchestration,US,2022,45.0,1200
Company 003,Orchestration,UK,2024,6.2,1150
Company 004,Code & Engineering,US,2023,28.0,45
Company 005,Code & Engineering,DE,2022,15.4,49
Company 006,Sales & SDR,US,2024,8.1,380
Company 007,Sales & SDR,IL,2023,11.0,395
Company 008,Customer Support,US,2022,22.3,540
Company 009,Legal & Compliance,UK,2023,9.8,890
Company 010,Back Office & Finance,US,2024,5.5,650
Company 011,Healthcare,US,2022,34.0,2100
Company 012,HR & Recruiting,FR,2023,4.2,410
Company 013,Marketing & Content,US,2024,3.1,260
# Demo version of the dataset (first 13 rows). Full version — in the newsletter and on request: hi@shubin.vc
# Source: https://shubin.vc/blog/ai-agents-market-2026 — please cite with a link.
